model_name,image_path,image_name,path_rank,suffix_text,first_token_prob,suffix_prob,avg_suffix_prob,suffix_perplexity,full_rank_sequence,num_suffix_tokens,suffix_token_id_probs,runtime
LlaVA 7B,dataset_vlm_0328\05.jpg,05.jpg,1,slice of cake.,0.2907680571079254,0.08000135134277651,0.5318318355680051,1.8802936062147988,"(2, 1, 1, 1)",4,16163:0.2908;302:0.9984;14833:0.3446;28723:0.7996,57.111525535583496
LlaVA 7B,dataset_vlm_0328\05.jpg,05.jpg,2,piece of cake.,0.3914417624473572,0.07955612504930971,0.5310903440621305,1.882918812553318,"(1, 1, 1, 1)",4,5511:0.3914;302:0.9991;14833:0.2609;28723:0.7798,57.111525535583496
LlaVA 7B,dataset_vlm_0328\05.jpg,05.jpg,3,piece of bread.,0.3914417624473572,0.07435607708143262,0.5221906811088065,1.9150092795157228,"(1, 1, 2, 1)",4,5511:0.3914;302:0.9991;10714:0.2600;28723:0.7312,57.111525535583496
LlaVA 7B,dataset_vlm_0328\06.jpg,06.jpg,1,slice of pizza.,0.2269997000694275,0.13447582044718845,0.6055653966575193,1.6513493101151473,"(2, 1, 1, 1)",4,16163:0.2270;302:0.9977;20727:0.6994;28723:0.8490,56.154897689819336
LlaVA 7B,dataset_vlm_0328\06.jpg,06.jpg,2,piece of toast.,0.2788902521133423,0.07926456899139052,0.5306030909990094,1.8846478977670842,"(1, 1, 1, 1)",4,5511:0.2789;302:0.9989;26312:0.3531;28723:0.8057,56.154897689819336
LlaVA 7B,dataset_vlm_0328\06.jpg,06.jpg,3,cookie.,0.07991971075534822,0.06786532307754099,0.26050973701100116,3.838628112229719,"(3, 1)",2,17661:0.0799;28723:0.8492,56.154897689819336
LlaVA 7B,dataset_vlm_0328\07.jpg,07.jpg,1,piece of blue felt.,0.06624448299407959,0.009611585128841867,0.3949653557985647,2.531867631727193,"(2, 1, 1, 1, 1)",5,5511:0.0662;302:0.9988;5045:0.6098;2770:0.3267;28723:0.7292,56.34670066833496
LlaVA 7B,dataset_vlm_0328\07.jpg,07.jpg,2,blue felt square.,0.5509525537490845,0.01887960626784034,0.3706792137991864,2.6977504072881326,"(1, 1, 1, 1)",4,5045:0.5510;2770:0.1554;7930:0.2556;28723:0.8630,56.34670066833496
LlaVA 7B,dataset_vlm_0328\07.jpg,07.jpg,3,small blue square.,0.057362627238035216,0.002390044960970442,0.22110650393903303,4.522707302521213,"(3, 1, 1, 1)",4,1741:0.0574;5045:0.5321;7930:0.1041;28723:0.7522,56.34670066833496
LlaVA 7B,dataset_vlm_0328\08.jpg,08.jpg,1,piece of paper.,0.40406474471092224,0.0731578405536058,0.5200740918838561,1.9228029536670745,"(1, 1, 1, 1)",4,5511:0.4041;302:0.9991;3830:0.2853;28723:0.6352,55.05396246910095
LlaVA 7B,dataset_vlm_0328\08.jpg,08.jpg,2,slice of pizza.,0.1386176496744156,0.07251249925094218,0.5189233564629022,1.9270668539882725,"(2, 1, 1, 1)",4,16163:0.1386;302:0.9980;20727:0.6449;28723:0.8129,55.05396246910095
LlaVA 7B,dataset_vlm_0328\08.jpg,08.jpg,3,piece of toast.,0.40406474471092224,0.044312809371451434,0.4588094148765074,2.1795542279121687,"(1, 1, 2, 1)",4,5511:0.4041;302:0.9991;26312:0.1370;28723:0.8012,55.05396246910095
LlaVA 7B,dataset_vlm_0328\09.jpg,09.jpg,1,glove.,0.4710516333580017,0.43729747985229683,0.7590300876618483,1.3174708305443419,"(1, 1, 1)",3,19720:0.4711;333:0.9999;28723:0.9284,57.48998975753784
LlaVA 7B,dataset_vlm_0328\09.jpg,09.jpg,2,black and white glove.,0.09525868296623231,0.03764100892406854,0.5789088772419827,1.7273875722275407,"(3, 1, 1, 1, 1, 1)",6,2687:0.0953;304:0.5380;3075:0.8769;19720:0.9049;333:0.9999;28723:0.9257,57.48998975753784
LlaVA 7B,dataset_vlm_0328\09.jpg,09.jpg,3,pair of gloves.,0.14719101786613464,0.10884818104135367,0.5743879151619565,1.740983703875518,"(2, 1, 1, 1)",4,5964:0.1472;302:0.9992;25570:0.7861;28723:0.9414,57.48998975753784
LlaVA 7B,dataset_vlm_0328\10.jpg,10.jpg,1,glove.,0.4539853632450104,0.4253491545606407,0.7520531326578437,1.3296932843905365,"(1, 1, 1)",3,19720:0.4540;333:0.9999;28723:0.9370,60.10066080093384
LlaVA 7B,dataset_vlm_0328\10.jpg,10.jpg,2,pair of gloves.,0.19423796236515045,0.1529986530031403,0.6254201967285542,1.598925019100433,"(2, 1, 1, 1)",4,5964:0.1942;302:0.9993;25570:0.8408;28723:0.9375,60.10066080093384
LlaVA 7B,dataset_vlm_0328\10.jpg,10.jpg,3,black glove.,0.06370108574628829,0.027293818223697162,0.4064583723499553,2.4602765449717765,"(3, 1, 1, 1)",4,2687:0.0637;19720:0.4874;333:0.9999;28723:0.8792,60.10066080093384
LlaVA 7B,dataset_vlm_0328\11.jpg,11.jpg,1,glove.,0.4084426462650299,0.37508792209045805,0.7211811387929221,1.3866141891532984,"(1, 1, 1)",3,19720:0.4084;333:0.9999;28723:0.9184,61.173733949661255
LlaVA 7B,dataset_vlm_0328\11.jpg,11.jpg,2,pair of gloves.,0.10838021337985991,0.07029787116832445,0.514914999898526,1.9420681087112814,"(2, 1, 1, 1)",4,5964:0.1084;302:0.9993;25570:0.6991;28723:0.9285,61.173733949661255
LlaVA 7B,dataset_vlm_0328\11.jpg,11.jpg,3,black glove.,0.08170387148857118,0.050348608367626176,0.47369289181024504,2.111072421159713,"(3, 1, 1, 1)",4,2687:0.0817;19720:0.6919;333:0.9999;28723:0.8907,61.173733949661255
LlaVA 7B,dataset_vlm_0328\12.jpg,12.jpg,1,glove.,0.4114089906215668,0.3755541294820541,0.7214798072337439,1.3860401773878357,"(1, 1, 1)",3,19720:0.4114;333:0.9999;28723:0.9129,62.35052537918091
LlaVA 7B,dataset_vlm_0328\12.jpg,12.jpg,2,black and white glove.,0.18598204851150513,0.07647560730452109,0.6515091044224675,1.5348979672148304,"(2, 1, 1, 1, 1, 1)",6,2687:0.1860;304:0.5991;3075:0.9367;19720:0.8046;333:0.9999;28723:0.9109,62.35052537918091
LlaVA 7B,dataset_vlm_0328\12.jpg,12.jpg,3,pair of gloves.,0.07662737369537354,0.05573355366560135,0.4858801801306873,2.0581205838258927,"(3, 1, 1, 1)",4,5964:0.0766;302:0.9992;25570:0.7875;28723:0.9243,62.35052537918091
LlaVA 7B,dataset_vlm_0328\13.jpg,13.jpg,1,chair.,0.1175280287861824,0.10870327746968832,0.3297018008287008,3.0330437913487707,"(1, 1)",2,6225:0.1175;28723:0.9249,60.68542957305908
LlaVA 7B,dataset_vlm_0328\13.jpg,13.jpg,2,white chair.,0.06832556426525115,0.00896354522916583,0.2077271541843734,4.814007123557978,"(2, 1, 1)",3,3075:0.0683;6225:0.1663;28723:0.7888,60.68542957305908
LlaVA 7B,dataset_vlm_0328\13.jpg,13.jpg,3,toilet.,0.04784116521477699,0.016692704558598507,0.12920024983953593,7.739923113476789,"(3, 1)",2,19580:0.0478;28723:0.3489,60.68542957305908
LlaVA 7B,dataset_vlm_0328\14.jpg,14.jpg,1,stool.,0.05938816815614701,0.04948791611286591,0.3671411428715823,2.7237481263432723,"(2, 1, 1)",3,341:0.0594;796:0.9308;28723:0.8952,60.16624617576599
LlaVA 7B,dataset_vlm_0328\14.jpg,14.jpg,2,chair.,0.137825608253479,0.12276263879190452,0.35037499738409494,2.854084930334685,"(1, 1)",2,6225:0.1378;28723:0.8907,60.16624617576599
LlaVA 7B,dataset_vlm_0328\14.jpg,14.jpg,3,small white chair.,0.04252376407384872,0.0011891210060321115,0.18569769488796067,5.385096463385518,"(3, 1, 1, 1)",4,1741:0.0425;3075:0.1827;6225:0.2019;28723:0.7584,60.16624617576599
LlaVA 7B,dataset_vlm_0328\15.jpg,15.jpg,1,toilet.,0.2326040118932724,0.1271938393807055,0.3566424531385818,2.8039286719784497,"(1, 1)",2,19580:0.2326;28723:0.5468,59.5521194934845
LlaVA 7B,dataset_vlm_0328\15.jpg,15.jpg,2,chair.,0.13080395758152008,0.121918392372824,0.34916814341062674,2.8639497012302915,"(2, 1)",2,6225:0.1308;28723:0.9321,59.5521194934845
LlaVA 7B,dataset_vlm_0328\15.jpg,15.jpg,3,white toilet.,0.07556503266096114,0.007858751266055477,0.19881593095366235,5.029778022330958,"(3, 1, 1)",3,3075:0.0756;19580:0.2338;28723:0.4448,59.5521194934845
LlaVA 7B,dataset_vlm_0328\16.jpg,16.jpg,1,toothbrush.,0.05184209719300271,0.04913916945845044,0.47082222238033533,2.123943927167034,"(3, 1, 1, 1)",4,17961:0.0518;1473:0.9890;1426:1.0000;28723:0.9584,59.63200521469116
LlaVA 7B,dataset_vlm_0328\16.jpg,16.jpg,2,black and white cat.,0.122673436999321,0.0015302773074867989,0.2734979198939732,3.656334938078028,"(1, 1, 1, 1, 1)",5,2687:0.1227;304:0.1123;3075:0.7129;5255:0.1932;28723:0.8069,59.63200521469116
LlaVA 7B,dataset_vlm_0328\16.jpg,16.jpg,3,small black object.,0.07318063825368881,0.0008521050158106806,0.1708532641608586,5.852975680104645,"(2, 1, 1, 1)",4,1741:0.0732;2687:0.2718;1928:0.0883;28723:0.4851,59.63200521469116
LlaVA 7B,dataset_vlm_0328\17.jpg,17.jpg,1,camera.,0.2389146089553833,0.19621107708346838,0.442957195543168,2.257554477185473,"(1, 1)",2,7555:0.2389;28723:0.8213,57.97142767906189
LlaVA 7B,dataset_vlm_0328\17.jpg,17.jpg,2,microphone.,0.044978190213441856,0.02077013379185853,0.27488208186063195,3.637923553369369,"(3, 1, 1)",3,7817:0.0450;6690:0.5003;28723:0.9231,57.97142767906189
LlaVA 7B,dataset_vlm_0328\17.jpg,17.jpg,3,small robot.,0.05103131011128426,0.0036204863579965456,0.15355205692630752,6.512449393497336,"(2, 1, 1)",3,1741:0.0510;18401:0.1238;28723:0.5729,57.97142767906189
LlaVA 7B,dataset_vlm_0328\18.jpg,18.jpg,1,fan.,0.6322206258773804,0.5797581814513961,0.7614185323797918,1.3133381412119411,"(1, 1)",2,7654:0.6322;28723:0.9170,56.58977746963501
LlaVA 7B,dataset_vlm_0328\18.jpg,18.jpg,2,small fan.,0.03361358866095542,0.01693527498571182,0.25680141808520884,3.8940594933482484,"(2, 1, 1)",3,1741:0.0336;7654:0.5918;28723:0.8514,56.58977746963501
LlaVA 7B,dataset_vlm_0328\18.jpg,18.jpg,3,white fan.,0.016337785869836804,0.0059690897750941585,0.1813994796378002,5.512694975733652,"(3, 1, 1)",3,3075:0.0163;7654:0.4361;28723:0.8377,56.58977746963501
LlaVA 7B,dataset_vlm_0328\19.jpg,19.jpg,1,fan.,0.3324437737464905,0.3035266699326513,0.5509325457192117,1.8151042405646152,"(1, 1)",2,7654:0.3324;28723:0.9130,56.8412766456604
LlaVA 7B,dataset_vlm_0328\19.jpg,19.jpg,2,small fan.,0.05631950870156288,0.02016768608306428,0.27219826808553016,3.6737926623610258,"(3, 1, 1)",3,1741:0.0563;7654:0.4154;28723:0.8621,56.8412766456604
LlaVA 7B,dataset_vlm_0328\19.jpg,19.jpg,3,camera.,0.0742875412106514,0.06267468431253588,0.2503491248487517,3.994421792383534,"(2, 1)",2,7555:0.0743;28723:0.8437,56.8412766456604
LlaVA 7B,dataset_vlm_0328\20.jpg,20.jpg,1,camera.,0.20222198963165283,0.17523143296416774,0.4186065371732359,2.3888781258716,"(1, 1)",2,7555:0.2022;28723:0.8665,59.48559045791626
LlaVA 7B,dataset_vlm_0328\20.jpg,20.jpg,2,remote control.,0.037629824131727226,0.023572951552049356,0.2867288026935109,3.487616139732276,"(3, 1, 1)",3,9308:0.0376;2602:0.7012;28723:0.8934,59.48559045791626
LlaVA 7B,dataset_vlm_0328\20.jpg,20.jpg,3,white camera.,0.0572023205459118,0.004347760927355403,0.16321317695245982,6.12695628301676,"(2, 1, 1)",3,3075:0.0572;7555:0.1127;28723:0.6742,59.48559045791626
LlaVA 7B,dataset_vlm_0328\21.jpg,21.jpg,1,bottle.,0.6185402274131775,0.3358270362849147,0.579505855263702,1.7256081037264994,"(1, 1)",2,10859:0.6185;28723:0.5429,60.702556133270264
LlaVA 7B,dataset_vlm_0328\21.jpg,21.jpg,2,bottle of liquid.,0.6185402274131775,0.037399588304164365,0.4397609937693028,2.2739624800024827,"(1, 2, 1, 1)",4,10859:0.6185;302:0.3600;12213:0.2306;28723:0.7284,60.702556133270264
LlaVA 7B,dataset_vlm_0328\21.jpg,21.jpg,3,small bottle.,0.05693367868661882,0.01681234613139555,0.2561785565185356,3.903527342764326,"(2, 1, 1)",3,1741:0.0569;10859:0.6271;28723:0.4709,60.702556133270264
LlaVA 7B,dataset_vlm_0328\22.jpg,22.jpg,1,bottle of hand sanitizer.,0.450371652841568,0.03497744997329988,0.6193979089524565,1.614471062214641,"(1, 2, 1, 1, 1, 1, 1)",7,10859:0.4504;302:0.4070;1021:0.2399;8417:0.8601;279:0.9948;4024:0.9949;28723:0.9347,61.878684759140015
LlaVA 7B,dataset_vlm_0328\22.jpg,22.jpg,2,spray bottle.,0.1614547222852707,0.1391418865060971,0.5181863425550619,1.9298077117764658,"(2, 1, 1)",3,19084:0.1615;10859:0.9901;28723:0.8704,61.878684759140015
LlaVA 7B,dataset_vlm_0328\22.jpg,22.jpg,3,bottle.,0.450371652841568,0.21875735516423414,0.46771503628195893,2.138053991056975,"(1, 1)",2,10859:0.4504;28723:0.4857,61.878684759140015
LlaVA 7B,dataset_vlm_0328\23.jpg,23.jpg,1,water bottle.,0.20682866871356964,0.19062214533206207,0.5755165066166072,1.7375696239867742,"(2, 1, 1)",3,2130:0.2068;10859:0.9917;28723:0.9294,59.72187900543213
LlaVA 7B,dataset_vlm_0328\23.jpg,23.jpg,2,bottle of water.,0.3293244540691375,0.0876256780525864,0.544073843894719,1.837985801415414,"(1, 2, 1, 1)",4,10859:0.3293;302:0.3362;2130:0.8765;28723:0.9030,59.72187900543213
LlaVA 7B,dataset_vlm_0328\23.jpg,23.jpg,3,bottle.,0.3293244540691375,0.18472265098707474,0.42979373074426613,2.3266975027027916,"(1, 1)",2,10859:0.3293;28723:0.5609,59.72187900543213
LlaVA 7B,dataset_vlm_0328\24.jpg,24.jpg,1,water bottle.,0.28989285230636597,0.24141588690886348,0.6226661863112867,1.6059969562889906,"(1, 1, 1)",3,2130:0.2899;10859:0.9541;28723:0.8728,59.140100717544556
LlaVA 7B,dataset_vlm_0328\24.jpg,24.jpg,2,bottle.,0.2608118951320648,0.1540021013515247,0.39243101476759545,2.5482185718481443,"(2, 1)",2,10859:0.2608;28723:0.5905,59.140100717544556
LlaVA 7B,dataset_vlm_0328\24.jpg,24.jpg,3,plastic bottle.,0.12105362862348555,0.04400062832245195,0.3530365139769727,2.8325681917004943,"(3, 1, 1)",3,10409:0.1211;10859:0.5710;28723:0.6366,59.140100717544556
LlaVA 7B,dataset_vlm_0328\25.jpg,25.jpg,1,camera.,0.21962045133113864,0.1873104405626389,0.4327937621577267,2.31056934604238,"(1, 1)",2,7555:0.2196;28723:0.8529,59.29391074180603
LlaVA 7B,dataset_vlm_0328\25.jpg,25.jpg,2,microphone.,0.06566564738750456,0.05973689457713693,0.39091369069135423,2.558109433904554,"(2, 1, 1)",3,7817:0.0657;6690:0.9860;28723:0.9226,59.29391074180603
LlaVA 7B,dataset_vlm_0328\25.jpg,25.jpg,3,small robot.,0.03877026587724685,0.002884605674786487,0.14235153388774854,7.024862835609141,"(3, 1, 1)",3,1741:0.0388;18401:0.1338;28723:0.5560,59.29391074180603
LlaVA 7B,dataset_vlm_0328\26.jpg,26.jpg,1,video game controller.,0.13832594454288483,0.08099322035050152,0.5334726595954387,1.874510309035058,"(1, 1, 1, 1)",4,3798:0.1383;2039:0.8674;11792:0.8194;28723:0.8239,59.702903509140015
LlaVA 7B,dataset_vlm_0328\26.jpg,26.jpg,2,remote control.,0.11539987474679946,0.06251089945417179,0.3968733307245224,2.5196956373320023,"(2, 1, 1)",3,9308:0.1154;2602:0.5829;28723:0.9293,59.702903509140015
LlaVA 7B,dataset_vlm_0328\26.jpg,26.jpg,3,camera.,0.11336420476436616,0.09829350721188136,0.3135179535718511,3.189610000343483,"(3, 1)",2,7555:0.1134;28723:0.8671,59.702903509140015
LlaVA 7B,dataset_vlm_0328\27.jpg,27.jpg,1,video game controller.,0.1291786432266235,0.08532410020506528,0.5404654412463455,1.8502570630491015,"(1, 1, 1, 1)",4,3798:0.1292;2039:0.9741;11792:0.8597;28723:0.7887,60.47296857833862
LlaVA 7B,dataset_vlm_0328\27.jpg,27.jpg,2,game controller.,0.09473064541816713,0.07063968371864084,0.4133801152682321,2.4190810420359115,"(3, 1, 1)",3,2039:0.0947;11792:0.9400;28723:0.7933,60.47296857833862
LlaVA 7B,dataset_vlm_0328\27.jpg,27.jpg,3,remote control.,0.10541463643312456,0.05739071965197387,0.38572745947968523,2.5925040476737595,"(2, 1, 1)",3,9308:0.1054;2602:0.5872;28723:0.9272,60.47296857833862
LlaVA 7B,dataset_vlm_0328\28.jpg,28.jpg,1,camera.,0.2889854907989502,0.23642937511870343,0.4862400385804355,2.056597401808935,"(1, 1)",2,7555:0.2890;28723:0.8181,61.72561693191528
LlaVA 7B,dataset_vlm_0328\28.jpg,28.jpg,2,black camera.,0.05714918673038483,0.01488400672047222,0.24598386392756336,4.065307309322034,"(3, 1, 1)",3,2687:0.0571;7555:0.3820;28723:0.6818,61.72561693191528
LlaVA 7B,dataset_vlm_0328\28.jpg,28.jpg,3,small robot.,0.06021450087428093,0.0053684753590151485,0.17509899551549535,5.711055035215808,"(2, 1, 1)",3,1741:0.0602;18401:0.1615;28723:0.5521,61.72561693191528
LlaVA 7B,dataset_vlm_0328\29.jpg,29.jpg,1,towel.,0.10278144478797911,0.09050803287941098,0.3008455299309115,3.323964960455446,"(2, 1)",2,27138:0.1028;28723:0.8806,60.74644947052002
LlaVA 7B,dataset_vlm_0328\29.jpg,29.jpg,2,white cloth.,0.10552684217691423,0.01507044089447381,0.24700665400003938,4.048473933013321,"(1, 1, 1)",3,3075:0.1055;17673:0.2009;28723:0.7110,60.74644947052002
LlaVA 7B,dataset_vlm_0328\29.jpg,29.jpg,3,cloth.,0.07353469729423523,0.056858297218367326,0.23844977923740532,4.193755193224064,"(3, 1)",2,17673:0.0735;28723:0.7732,60.74644947052002
LlaVA 7B,dataset_vlm_0328\30.jpg,30.jpg,1,crumpled piece of paper.,0.06845256686210632,0.019458628183573305,0.5696229255038855,1.7555473195103677,"(3, 1, 1, 1, 1, 1, 1)",7,1439:0.0685;383:0.9274;9667:0.9901;5511:0.5164;302:0.9997;3830:0.7648;28723:0.7841,60.917298555374146
LlaVA 7B,dataset_vlm_0328\30.jpg,30.jpg,2,piece of paper.,0.239629402756691,0.09266077121379743,0.5517266696621304,1.812491682905932,"(1, 1, 1, 1)",4,5511:0.2396;302:0.9995;3830:0.5321;28723:0.7271,60.917298555374146
LlaVA 7B,dataset_vlm_0328\30.jpg,30.jpg,3,paper.,0.12074654549360277,0.04144746882024798,0.2035865143378804,4.911916701615902,"(2, 1)",2,3830:0.1207;28723:0.3433,60.917298555374146
LlaVA 7B,dataset_vlm_0328\31.jpg,31.jpg,1,piece of cloth.,0.16272601485252383,0.03768471772625048,0.4405967777269955,2.2696489183577833,"(1, 1, 1, 1)",4,5511:0.1627;302:0.9995;17673:0.3708;28723:0.6248,60.51822519302368
LlaVA 7B,dataset_vlm_0328\31.jpg,31.jpg,2,white piece of paper.,0.07736302912235261,0.004179306703344595,0.3343650290870777,2.990743388237449,"(2, 1, 1, 1, 1)",5,3075:0.0774;5511:0.1247;302:0.9982;3830:0.6662;28723:0.6513,60.51822519302368
LlaVA 7B,dataset_vlm_0328\31.jpg,31.jpg,3,tissue.,0.06404794007539748,0.0477884553491492,0.2186057074944504,4.57444598067224,"(3, 1)",2,18983:0.0640;28723:0.7461,60.51822519302368
LlaVA 7B,dataset_vlm_0328\32.jpg,32.jpg,1,piece of cloth.,0.11566624045372009,0.023912711639955612,0.39323956471089266,2.5429791143604636,"(1, 1, 1, 1)",4,5511:0.1157;302:0.9995;17673:0.3094;28723:0.6684,59.75914669036865
LlaVA 7B,dataset_vlm_0328\32.jpg,32.jpg,2,dirty white cloth.,0.06972936540842056,0.0053390869355117495,0.27031288525875563,3.6994166927808676,"(3, 1, 1, 1)",4,13485:0.0697;3075:0.2566;17673:0.3815;28723:0.7820,59.75914669036865
LlaVA 7B,dataset_vlm_0328\32.jpg,32.jpg,3,white cloth.,0.09862332791090013,0.017713122361199093,0.2606743949890016,3.836203398658285,"(2, 1, 1)",3,3075:0.0986;17673:0.2384;28723:0.7534,59.75914669036865
LlaVA 7B,dataset_vlm_0328\33.jpg,33.jpg,1,camera.,0.20350345969200137,0.17587433615448944,0.4193737428052565,2.384507893390854,"(1, 1)",2,7555:0.2035;28723:0.8642,60.0181827545166
LlaVA 7B,dataset_vlm_0328\33.jpg,33.jpg,2,black and white checkered pattern.,0.0501892901957035,0.00016841640523104293,0.28900945844040826,3.460094369908634,"(2, 1, 1, 1, 1, 1, 1)",7,2687:0.0502;304:0.3672;3075:0.9446;1877:0.1707;2092:0.5521;5340:0.1397;28723:0.7351,60.0181827545166
LlaVA 7B,dataset_vlm_0328\33.jpg,33.jpg,3,small robot.,0.04930578544735908,0.004540849074987091,0.16559441648165638,6.038850954318103,"(3, 1, 1)",3,1741:0.0493;18401:0.1730;28723:0.5322,60.0181827545166
LlaVA 7B,dataset_vlm_0328\34.jpg,34.jpg,1,chess board.,0.08915723860263824,0.02832236295449901,0.4102346795069275,2.4376291180500096,"(1, 1, 1, 1)",4,997:0.0892;819:0.9968;5113:0.3528;28723:0.9033,59.88494086265564
LlaVA 7B,dataset_vlm_0328\34.jpg,34.jpg,2,black and white checkered pattern.,0.08905688673257828,0.0018642755458016234,0.4074486393444435,2.454297065782157,"(2, 1, 1, 1, 1, 1, 1)",7,2687:0.0891;304:0.4885;3075:0.9880;1877:0.5883;2092:0.4867;5340:0.2020;28723:0.7498,59.88494086265564
LlaVA 7B,dataset_vlm_0328\34.jpg,34.jpg,3,robot arm.,0.05462978035211564,0.019723824473746168,0.27018653992486885,3.7011466236551662,"(3, 1, 1)",3,18401:0.0546;3648:0.4354;28723:0.8293,59.88494086265564
LlaVA 7B,dataset_vlm_0328\35.jpg,35.jpg,1,chess board.,0.0920972302556038,0.03311058611135885,0.42657138315409243,2.3442735248809816,"(1, 1, 1, 1)",4,997:0.0921;819:0.9985;5113:0.3924;28723:0.9175,58.9319953918457
LlaVA 7B,dataset_vlm_0328\35.jpg,35.jpg,2,checkerboard.,0.06930772960186003,0.02557209045473958,0.3998909337389998,2.5006818500483394,"(2, 1, 1, 1)",4,1877:0.0693;263:0.6094;3516:0.7532;28723:0.8039,58.9319953918457
LlaVA 7B,dataset_vlm_0328\35.jpg,35.jpg,3,robot arm.,0.0498550720512867,0.020479979750046746,0.27359606129393715,3.6550233774222827,"(3, 1, 1)",3,18401:0.0499;3648:0.4892;28723:0.8396,58.9319953918457
LlaVA 7B,dataset_vlm_0328\36.jpg,36.jpg,1,chess board.,0.06854355335235596,0.023397239324258298,0.39110300636875245,2.556871166204096,"(2, 1, 1, 1)",4,997:0.0685;819:0.9966;5113:0.3699;28723:0.9260,59.86321544647217
LlaVA 7B,dataset_vlm_0328\36.jpg,36.jpg,2,camera.,0.09747188538312912,0.08324070274237763,0.2885146490949422,3.46602851237175,"(1, 1)",2,7555:0.0975;28723:0.8540,59.86321544647217
LlaVA 7B,dataset_vlm_0328\36.jpg,36.jpg,3,robot arm.,0.04676787555217742,0.01869906225924051,0.26542384888115383,3.767558959812085,"(3, 1, 1)",3,18401:0.0468;3648:0.4736;28723:0.8442,59.86321544647217
LlaVA 7B,dataset_vlm_0328\37.jpg,37.jpg,1,black and white checkered pattern.,0.06417489051818846,0.0013732399239935998,0.3900377402259464,2.563854460393259,"(2, 1, 1, 1, 1, 1, 1)",7,2687:0.0642;304:0.4711;3075:0.9843;1877:0.5261;2092:0.4923;5340:0.2342;28723:0.7610,61.27616548538208
LlaVA 7B,dataset_vlm_0328\37.jpg,37.jpg,2,small black and white checkered pattern.,0.05156489089131355,4.706087596739996e-05,0.2877945072179802,3.4747014794225515,"(3, 1, 1, 1, 1, 1, 1, 1)",8,1741:0.0516;2687:0.1289;304:0.3535;3075:0.9317;1877:0.3277;2092:0.5359;5340:0.1703;28723:0.7187,61.27616548538208
LlaVA 7B,dataset_vlm_0328\37.jpg,37.jpg,3,camera.,0.08365674316883086,0.07160455806300002,0.26759028021024983,3.737056514961173,"(1, 1)",2,7555:0.0837;28723:0.8559,61.27616548538208
