prompt,model,image_folder,image_name,model_response,correct_object_names,success,response_time
What is the object in the image? Answer with a single word.,llava,images_base,55.jpg, Controller ,controller,True,0.44959545135498
What is the object in the image? Answer with a single word.,llava,images_base,56.jpg, Tissue ,cloth; fabric; clothing,False,0.466006994247437
What is the object in the image? Answer with a single word.,llava,images_base,57.jpg, Computer mouse ,mouse,True,0.465142726898193
What is the object in the image? Answer with a single word.,llava,images_base,58.jpg, Screwdriver ,screwdriver,True,0.479130506515503
What is the object in the image? Answer with a single word.,llava,images_base,59.jpg, Computer board ,pcb; circuit board; pcie,False,0.465677261352539
What is the object in the image? Answer with a single word.,llava,images_base,60.jpg, Tube ,cleaning foam; cleaning solution,False,0.464303255081177
What is the object in the image? Answer with a single word.,llava:13b,images_base,01.jpg, Robot,mug; cup,False,5.56284260749817
What is the object in the image? Answer with a single word.,llava:13b,images_base,02.jpg, Robot,mug; cup,False,0.736419439315796
What is the object in the image? Answer with a single word.,llava:13b,images_base,03.jpg, Robot,mug; cup,False,0.736143589019775
What is the object in the image? Answer with a single word.,llava:13b,images_base,04.jpg, Robot,mug; cup,False,0.732165098190308
What is the object in the image? Answer with a single word.,llava:13b,images_base,05.jpg, Robot,sponge,False,0.735077857971191
What is the object in the image? Answer with a single word.,llava:13b,images_base,06.jpg, Robot,sponge,False,0.734752416610718
What is the object in the image? Answer with a single word.,llava:13b,images_base,07.jpg, Robot,sponge,False,0.732603073120117
What is the object in the image? Answer with a single word.,llava:13b,images_base,08.jpg, Robot,sponge,False,0.734556436538696
What is the object in the image? Answer with a single word.,llava:13b,images_base,09.jpg, Glove,gloves; glove,True,0.73551344871521
What is the object in the image? Answer with a single word.,llava:13b,images_base,10.jpg, Robot,gloves; glove,False,0.734197854995728
What is the object in the image? Answer with a single word.,llava:13b,images_base,11.jpg, Robot,gloves; glove,False,0.735238313674927
What is the object in the image? Answer with a single word.,llava:13b,images_base,12.jpg, Glove,gloves; glove,True,0.733880519866943
What is the object in the image? Answer with a single word.,llava:13b,images_base,13.jpg, Robot,plate; dish; tray,False,0.73248815536499
What is the object in the image? Answer with a single word.,llava:13b,images_base,14.jpg, Chair,plate; dish; tray,False,0.704339504241943
What is the object in the image? Answer with a single word.,llava:13b,images_base,15.jpg, Robot,plate; dish; tray,False,0.731388807296753
What is the object in the image? Answer with a single word.,llava:13b,images_base,16.jpg, Robot,plate; dish; tray,False,0.73667311668396
What is the object in the image? Answer with a single word.,llava:13b,images_base,17.jpg, Robot,fan,False,0.733420133590698
What is the object in the image? Answer with a single word.,llava:13b,images_base,18.jpg, Robot,fan,False,0.731922626495361
What is the object in the image? Answer with a single word.,llava:13b,images_base,19.jpg, Robot,fan,False,0.732621431350708
What is the object in the image? Answer with a single word.,llava:13b,images_base,20.jpg, Robot,fan,False,0.734193563461304
What is the object in the image? Answer with a single word.,llava:13b,images_base,21.jpg, Robot,soap bottle; bottle of soap; cleaning solution; hand sanitizer,False,0.731866836547852
What is the object in the image? Answer with a single word.,llava:13b,images_base,22.jpg, Robot,soap bottle; bottle of soap; cleaning solution; hand sanitizer,False,0.730291366577148
What is the object in the image? Answer with a single word.,llava:13b,images_base,23.jpg, Robot,soap bottle; bottle of soap; cleaning solution; hand sanitizer,False,0.731401205062866
What is the object in the image? Answer with a single word.,llava:13b,images_base,24.jpg, Robot,soap bottle; bottle of soap; cleaning solution; hand sanitizer,False,0.730144023895264
What is the object in the image? Answer with a single word.,llava:13b,images_base,25.jpg, Robot,controller,False,0.730704545974731
What is the object in the image? Answer with a single word.,llava:13b,images_base,26.jpg, Robot,controller,False,0.729893207550049
What is the object in the image? Answer with a single word.,llava:13b,images_base,27.jpg, Robot,controller,False,0.733337163925171
What is the object in the image? Answer with a single word.,llava:13b,images_base,28.jpg, Robot,controller,False,0.732406616210938
What is the object in the image? Answer with a single word.,llava:13b,images_base,29.jpg, Robot,cloth; fabric; clothing,False,0.731262445449829
What is the object in the image? Answer with a single word.,llava:13b,images_base,30.jpg, Robot,cloth; fabric; clothing,False,0.732244253158569
What is the object in the image? Answer with a single word.,llava:13b,images_base,31.jpg, Robot,cloth; fabric; clothing,False,0.732645273208618
What is the object in the image? Answer with a single word.,llava:13b,images_base,32.jpg, Robot,cloth; fabric; clothing,False,0.730547904968262
What is the object in the image? Answer with a single word.,llava:13b,images_base,33.jpg, Robot,mouse,False,0.73197340965271
What is the object in the image? Answer with a single word.,llava:13b,images_base,34.jpg, Robot,mouse,False,0.731680154800415
What is the object in the image? Answer with a single word.,llava:13b,images_base,35.jpg, Robot,mouse,False,0.731913089752197
What is the object in the image? Answer with a single word.,llava:13b,images_base,36.jpg, Robot,mouse,False,0.733360052108765
What is the object in the image? Answer with a single word.,llava:13b,images_base,37.jpg, Robot,screwdriver,False,0.735406875610352
What is the object in the image? Answer with a single word.,llava:13b,images_base,38.jpg, Robot,screwdriver,False,0.733579397201538
What is the object in the image? Answer with a single word.,llava:13b,images_base,39.jpg, Robot,screwdriver,False,0.733548164367676
What is the object in the image? Answer with a single word.,llava:13b,images_base,40.jpg, Robot,screwdriver,False,0.735786199569702
What is the object in the image? Answer with a single word.,llava:13b,images_base,41.jpg, Robot,pcb; circuit board; pcie,False,0.730773687362671
What is the object in the image? Answer with a single word.,llava:13b,images_base,42.jpg, Robot,pcb; circuit board; pcie,False,0.729963541030884
What is the object in the image? Answer with a single word.,llava:13b,images_base,43.jpg, Robot,pcb; circuit board; pcie,False,0.729668140411377
What is the object in the image? Answer with a single word.,llava:13b,images_base,44.jpg, Robot,pcb; circuit board; pcie,False,0.7284255027771
What is the object in the image? Answer with a single word.,llava:13b,images_base,45.jpg, Robot,cleaning foam; cleaning solution,False,0.730113029479981
What is the object in the image? Answer with a single word.,llava:13b,images_base,46.jpg, Robot,cleaning foam; cleaning solution,False,0.730051279067993
What is the object in the image? Answer with a single word.,llava:13b,images_base,47.jpg, Robot,cleaning foam; cleaning solution,False,0.729702472686768
What is the object in the image? Answer with a single word.,llava:13b,images_base,48.jpg, Camera,cleaning foam; cleaning solution,False,0.704306602478027
What is the object in the image? Answer with a single word.,llava:13b,images_base,49.jpg, Coffee cup,mug; cup,True,0.782368183135986
What is the object in the image? Answer with a single word.,llava:13b,images_base,50.jpg, Sponge,sponge,True,0.757047414779663
What is the object in the image? Answer with a single word.,llava:13b,images_base,51.jpg, Gloves,gloves; glove,True,0.730684757232666
What is the object in the image? Answer with a single word.,llava:13b,images_base,52.jpg, Tray,plate; dish; tray,True,0.730055093765259
What is the object in the image? Answer with a single word.,llava:13b,images_base,53.jpg, Fan,fan,True,0.730880498886108
What is the object in the image? Answer with a single word.,llava:13b,images_base,54.jpg, Bottle,soap bottle; bottle of soap; cleaning solution; hand sanitizer,False,0.757120609283447
What is the object in the image? Answer with a single word.,llava:13b,images_base,55.jpg, Controller,controller,True,0.702623128890991
What is the object in the image? Answer with a single word.,llava:13b,images_base,56.jpg, Napkin,cloth; fabric; clothing,False,0.731740951538086
What is the object in the image? Answer with a single word.,llava:13b,images_base,57.jpg, Mouse,mouse,True,0.704501867294312
What is the object in the image? Answer with a single word.,llava:13b,images_base,58.jpg, Screwdriver,screwdriver,True,0.783639430999756
What is the object in the image? Answer with a single word.,llava:13b,images_base,59.jpg, Circuit board,pcb; circuit board; pcie,True,0.756980657577515
What is the object in the image? Answer with a single word.,llava:13b,images_base,60.jpg, Tube,cleaning foam; cleaning solution,False,0.730679273605347
What is the object in the image? Answer with a single word.,llava:34b,images_base,01.jpg,Robot,mug; cup,False,20.049218416214
What is the object in the image? Answer with a single word.,llava:34b,images_base,02.jpg,Robot,mug; cup,False,4.93420839309692
What is the object in the image? Answer with a single word.,llava:34b,images_base,03.jpg,Robot,mug; cup,False,5.01853895187378
What is the object in the image? Answer with a single word.,llava:34b,images_base,04.jpg,Robot,mug; cup,False,4.95723462104797
What is the object in the image? Answer with a single word.,llava:34b,images_base,05.jpg,Robot,sponge,False,5.03183221817017
What is the object in the image? Answer with a single word.,llava:34b,images_base,06.jpg,Robot,sponge,False,5.06418919563294
What is the object in the image? Answer with a single word.,llava:34b,images_base,07.jpg,Robot,sponge,False,4.96291756629944
What is the object in the image? Answer with a single word.,llava:34b,images_base,08.jpg,Robot,sponge,False,4.97239065170288
What is the object in the image? Answer with a single word.,llava:34b,images_base,09.jpg,Glove,gloves; glove,True,5.00469517707825
What is the object in the image? Answer with a single word.,llava:34b,images_base,10.jpg,Robot,gloves; glove,False,4.93335819244385
What is the object in the image? Answer with a single word.,llava:34b,images_base,11.jpg,Robot,gloves; glove,False,5.05273747444153
What is the object in the image? Answer with a single word.,llava:34b,images_base,12.jpg,Glove,gloves; glove,True,4.91940307617188
What is the object in the image? Answer with a single word.,llava:34b,images_base,13.jpg,Robot,plate; dish; tray,False,5.06214332580566
What is the object in the image? Answer with a single word.,llava:34b,images_base,14.jpg,Machine,plate; dish; tray,False,4.77419853210449
What is the object in the image? Answer with a single word.,llava:34b,images_base,15.jpg,Robot,plate; dish; tray,False,4.93728947639465
What is the object in the image? Answer with a single word.,llava:34b,images_base,16.jpg,Robot,plate; dish; tray,False,5.0489776134491
What is the object in the image? Answer with a single word.,llava:34b,images_base,17.jpg,Robot,fan,False,4.88629412651062
What is the object in the image? Answer with a single word.,llava:34b,images_base,18.jpg,Robot,fan,False,4.90885710716248
What is the object in the image? Answer with a single word.,llava:34b,images_base,19.jpg,Robot,fan,False,4.95226621627808
What is the object in the image? Answer with a single word.,llava:34b,images_base,20.jpg,Robot,fan,False,4.94591426849365
What is the object in the image? Answer with a single word.,llava:34b,images_base,21.jpg,Robot,soap bottle; bottle of soap; cleaning solution; hand sanitizer,False,4.85288190841675
What is the object in the image? Answer with a single word.,llava:34b,images_base,22.jpg,Robot,soap bottle; bottle of soap; cleaning solution; hand sanitizer,False,5.0173180103302
What is the object in the image? Answer with a single word.,llava:34b,images_base,23.jpg,Robot,soap bottle; bottle of soap; cleaning solution; hand sanitizer,False,5.03178834915161
What is the object in the image? Answer with a single word.,llava:34b,images_base,24.jpg,Robot,soap bottle; bottle of soap; cleaning solution; hand sanitizer,False,4.82185101509094
What is the object in the image? Answer with a single word.,llava:34b,images_base,25.jpg,Robot,controller,False,4.81065368652344
What is the object in the image? Answer with a single word.,llava:34b,images_base,26.jpg,Robot,controller,False,4.90502643585205
What is the object in the image? Answer with a single word.,llava:34b,images_base,27.jpg,Robot,controller,False,5.0117244720459
What is the object in the image? Answer with a single word.,llava:34b,images_base,28.jpg,Robot,controller,False,5.02345705032349
What is the object in the image? Answer with a single word.,llava:34b,images_base,29.jpg,Robot,cloth; fabric; clothing,False,5.07449865341187
What is the object in the image? Answer with a single word.,llava:34b,images_base,30.jpg,Robot,cloth; fabric; clothing,False,4.88139939308167
What is the object in the image? Answer with a single word.,llava:34b,images_base,31.jpg,Robot,cloth; fabric; clothing,False,4.94659090042114
What is the object in the image? Answer with a single word.,llava:34b,images_base,32.jpg,Robot,cloth; fabric; clothing,False,4.93847894668579
What is the object in the image? Answer with a single word.,llava:34b,images_base,33.jpg,Robot,mouse,False,4.96539831161499
What is the object in the image? Answer with a single word.,llava:34b,images_base,34.jpg,Robot,mouse,False,5.04951953887939
What is the object in the image? Answer with a single word.,llava:34b,images_base,35.jpg,Robot,mouse,False,4.83844757080078
What is the object in the image? Answer with a single word.,llava:34b,images_base,36.jpg,Robot,mouse,False,4.79972958564758
What is the object in the image? Answer with a single word.,llava:34b,images_base,37.jpg,Robot,screwdriver,False,4.93360114097595
What is the object in the image? Answer with a single word.,llava:34b,images_base,38.jpg,Robot,screwdriver,False,4.92140674591064
What is the object in the image? Answer with a single word.,llava:34b,images_base,39.jpg,Robot,screwdriver,False,5.06894755363464
What is the object in the image? Answer with a single word.,llava:34b,images_base,40.jpg,Robot,screwdriver,False,4.85529899597168
What is the object in the image? Answer with a single word.,llava:34b,images_base,41.jpg,Robot,pcb; circuit board; pcie,False,4.87840366363525
What is the object in the image? Answer with a single word.,llava:34b,images_base,42.jpg,Robot,pcb; circuit board; pcie,False,4.92939972877502
What is the object in the image? Answer with a single word.,llava:34b,images_base,43.jpg,Robot,pcb; circuit board; pcie,False,4.87439441680908
What is the object in the image? Answer with a single word.,llava:34b,images_base,44.jpg,Robot,pcb; circuit board; pcie,False,5.00440526008606
What is the object in the image? Answer with a single word.,llava:34b,images_base,45.jpg,Robot,cleaning foam; cleaning solution,False,4.97176146507263
What is the object in the image? Answer with a single word.,llava:34b,images_base,46.jpg,Robot,cleaning foam; cleaning solution,False,5.04465818405151
What is the object in the image? Answer with a single word.,llava:34b,images_base,47.jpg,Robot,cleaning foam; cleaning solution,False,5.0669412612915
What is the object in the image? Answer with a single word.,llava:34b,images_base,48.jpg,Camera,cleaning foam; cleaning solution,False,4.69406819343567
What is the object in the image? Answer with a single word.,llava:34b,images_base,49.jpg,Cup,mug; cup,True,5.02443218231201
What is the object in the image? Answer with a single word.,llava:34b,images_base,50.jpg,Sponge,sponge,True,5.01236820220947
What is the object in the image? Answer with a single word.,llava:34b,images_base,51.jpg,Glove,gloves; glove,True,5.03487086296082
What is the object in the image? Answer with a single word.,llava:34b,images_base,52.jpg,Plate,plate; dish; tray,True,4.96228098869324
What is the object in the image? Answer with a single word.,llava:34b,images_base,53.jpg,Fan,fan,True,4.79064702987671
What is the object in the image? Answer with a single word.,llava:34b,images_base,54.jpg,Soap bottle,soap bottle; bottle of soap; cleaning solution; hand sanitizer,True,5.08298110961914
What is the object in the image? Answer with a single word.,llava:34b,images_base,55.jpg,Controller,controller,True,4.78593587875366
What is the object in the image? Answer with a single word.,llava:34b,images_base,56.jpg,Towel,cloth; fabric; clothing,False,5.12636375427246
What is the object in the image? Answer with a single word.,llava:34b,images_base,57.jpg,Mouse,mouse,True,4.66882801055908
What is the object in the image? Answer with a single word.,llava:34b,images_base,58.jpg,Antenna,screwdriver,False,4.82654571533203
What is the object in the image? Answer with a single word.,llava:34b,images_base,59.jpg,Circuit board,pcb; circuit board; pcie,True,5.18278384208679
What is the object in the image? Answer with a single word.,llava:34b,images_base,60.jpg,Tube,cleaning foam; cleaning solution,False,4.77180767059326
What is the object in the image? Answer with a single word.,llava-llama3,images_base,01.jpg,Robotic arm,mug; cup,False,4.94871401786804
What is the object in the image? Answer with a single word.,llava-llama3,images_base,02.jpg,Machine,mug; cup,False,0.464202642440796
What is the object in the image? Answer with a single word.,llava-llama3,images_base,03.jpg,Machine,mug; cup,False,0.463311672210693
What is the object in the image? Answer with a single word.,llava-llama3,images_base,04.jpg,Machine,mug; cup,False,0.463885307312012
What is the object in the image? Answer with a single word.,llava-llama3,images_base,05.jpg,Machine,sponge,False,0.464112520217896
What is the object in the image? Answer with a single word.,llava-llama3,images_base,06.jpg,Toaster,sponge,False,0.481799840927124
What is the object in the image? Answer with a single word.,llava-llama3,images_base,07.jpg,Machine,sponge,False,0.462187767028809
What is the object in the image? Answer with a single word.,llava-llama3,images_base,08.jpg,Toaster oven,sponge,False,0.498354196548462
What is the object in the image? Answer with a single word.,llava-llama3,images_base,09.jpg,Machine,gloves; glove,False,0.466084957122803
What is the object in the image? Answer with a single word.,llava-llama3,images_base,10.jpg,Machine,gloves; glove,False,0.465250730514526
What is the object in the image? Answer with a single word.,llava-llama3,images_base,11.jpg,Machine,gloves; glove,False,0.466639518737793
What is the object in the image? Answer with a single word.,llava-llama3,images_base,12.jpg,Machine,gloves; glove,False,0.465574979782105
What is the object in the image? Answer with a single word.,llava-llama3,images_base,13.jpg,Machine,plate; dish; tray,False,0.464519262313843
What is the object in the image? Answer with a single word.,llava-llama3,images_base,14.jpg,Machine,plate; dish; tray,False,0.464551448822022
What is the object in the image? Answer with a single word.,llava-llama3,images_base,15.jpg,Machine,plate; dish; tray,False,0.464457750320435
What is the object in the image? Answer with a single word.,llava-llama3,images_base,16.jpg,Machine,plate; dish; tray,False,0.465305805206299
What is the object in the image? Answer with a single word.,llava-llama3,images_base,17.jpg,Machine,fan,False,0.465444087982178
What is the object in the image? Answer with a single word.,llava-llama3,images_base,18.jpg,Fan,fan,True,0.466123819351196
What is the object in the image? Answer with a single word.,llava-llama3,images_base,19.jpg,Fan,fan,True,0.46515679359436
What is the object in the image? Answer with a single word.,llava-llama3,images_base,20.jpg,Robot arm,fan,False,0.482922077178955
What is the object in the image? Answer with a single word.,llava-llama3,images_base,21.jpg,Machine,soap bottle; bottle of soap; cleaning solution; hand sanitizer,False,0.46497106552124
What is the object in the image? Answer with a single word.,llava-llama3,images_base,22.jpg,Bottle,soap bottle; bottle of soap; cleaning solution; hand sanitizer,False,0.482928991317749
What is the object in the image? Answer with a single word.,llava-llama3,images_base,23.jpg,Robot,soap bottle; bottle of soap; cleaning solution; hand sanitizer,False,0.465651035308838
What is the object in the image? Answer with a single word.,llava-llama3,images_base,24.jpg,Machine,soap bottle; bottle of soap; cleaning solution; hand sanitizer,False,0.465115547180176
What is the object in the image? Answer with a single word.,llava-llama3,images_base,25.jpg,Machine,controller,False,0.464519262313843
What is the object in the image? Answer with a single word.,llava-llama3,images_base,26.jpg,Wii controller,controller,True,0.500968456268311
What is the object in the image? Answer with a single word.,llava-llama3,images_base,27.jpg,Robot,controller,False,0.465167999267578
What is the object in the image? Answer with a single word.,llava-llama3,images_base,28.jpg,Robot,controller,False,0.464684963226318
What is the object in the image? Answer with a single word.,llava-llama3,images_base,29.jpg,Robe,cloth; fabric; clothing,False,0.482727289199829
What is the object in the image? Answer with a single word.,llava-llama3,images_base,30.jpg,Robot,cloth; fabric; clothing,False,0.482195377349854
What is the object in the image? Answer with a single word.,llava-llama3,images_base,31.jpg,Ironing board,cloth; fabric; clothing,False,0.500499963760376
What is the object in the image? Answer with a single word.,llava-llama3,images_base,32.jpg,Shirt,cloth; fabric; clothing,False,0.483395099639893
What is the object in the image? Answer with a single word.,llava-llama3,images_base,33.jpg,Machine,mouse,False,0.465885639190674
What is the object in the image? Answer with a single word.,llava-llama3,images_base,34.jpg,Machine,mouse,False,0.464720010757446
What is the object in the image? Answer with a single word.,llava-llama3,images_base,35.jpg,Machine,mouse,False,0.465113878250122
What is the object in the image? Answer with a single word.,llava-llama3,images_base,36.jpg,Machine,mouse,False,0.465921878814697
What is the object in the image? Answer with a single word.,llava-llama3,images_base,37.jpg,Machine,screwdriver,False,0.465398550033569
What is the object in the image? Answer with a single word.,llava-llama3,images_base,38.jpg,Machine,screwdriver,False,0.465222597122192
What is the object in the image? Answer with a single word.,llava-llama3,images_base,39.jpg,Machine,screwdriver,False,0.46690821647644
What is the object in the image? Answer with a single word.,llava-llama3,images_base,40.jpg,Machine,screwdriver,False,0.465367317199707
What is the object in the image? Answer with a single word.,llava-llama3,images_base,41.jpg,Printer,pcb; circuit board; pcie,False,0.465733289718628
What is the object in the image? Answer with a single word.,llava-llama3,images_base,42.jpg,Machine,pcb; circuit board; pcie,False,0.466994762420654
What is the object in the image? Answer with a single word.,llava-llama3,images_base,43.jpg,Machine,pcb; circuit board; pcie,False,0.465809106826782
What is the object in the image? Answer with a single word.,llava-llama3,images_base,44.jpg,Camera,pcb; circuit board; pcie,False,0.466461181640625
What is the object in the image? Answer with a single word.,llava-llama3,images_base,45.jpg,Spray paint,cleaning foam; cleaning solution,False,0.501278638839722
What is the object in the image? Answer with a single word.,llava-llama3,images_base,46.jpg,Spray bottle,cleaning foam; cleaning solution,False,0.500255346298218
What is the object in the image? Answer with a single word.,llava-llama3,images_base,47.jpg,Camera,cleaning foam; cleaning solution,False,0.46523118019104
What is the object in the image? Answer with a single word.,llava-llama3,images_base,48.jpg,Hair dryer,cleaning foam; cleaning solution,False,0.483636617660522
What is the object in the image? Answer with a single word.,llava-llama3,images_base,49.jpg,Mug,mug; cup,True,0.484428882598877
What is the object in the image? Answer with a single word.,llava-llama3,images_base,50.jpg,Sponge,sponge,True,0.483773946762085
What is the object in the image? Answer with a single word.,llava-llama3,images_base,51.jpg,Glove,gloves; glove,True,0.483770132064819
What is the object in the image? Answer with a single word.,llava-llama3,images_base,52.jpg,Plate,plate; dish; tray,True,0.464994430541992
What is the object in the image? Answer with a single word.,llava-llama3,images_base,53.jpg,Fan,fan,True,0.466362953186035
What is the object in the image? Answer with a single word.,llava-llama3,images_base,54.jpg,Bottle,soap bottle; bottle of soap; cleaning solution; hand sanitizer,False,0.48293399810791
What is the object in the image? Answer with a single word.,llava-llama3,images_base,55.jpg,Controller,controller,True,0.465884208679199
What is the object in the image? Answer with a single word.,llava-llama3,images_base,56.jpg,Towel,cloth; fabric; clothing,False,0.484422922134399
What is the object in the image? Answer with a single word.,llava-llama3,images_base,57.jpg,Mouse,mouse,True,0.465569257736206
What is the object in the image? Answer with a single word.,llava-llama3,images_base,58.jpg,Screwdriver,screwdriver,True,0.501602411270142
What is the object in the image? Answer with a single word.,llava-llama3,images_base,59.jpg,Microchip,pcb; circuit board; pcie,False,0.484969854354858
What is the object in the image? Answer with a single word.,llava-llama3,images_base,60.jpg,Bleach,cleaning foam; cleaning solution,False,0.501649618148804
What is the object in the image? Answer with a single word.,llama3.2-vision,images_base,01.jpg,Mug.,mug; cup,True,9.78980731964111
What is the object in the image? Answer with a single word.,llama3.2-vision,images_base,02.jpg,Mug.,mug; cup,True,4.23394203186035
What is the object in the image? Answer with a single word.,llama3.2-vision,images_base,03.jpg,Mug.,mug; cup,True,4.24046754837036
What is the object in the image? Answer with a single word.,llama3.2-vision,images_base,04.jpg,Mug.,mug; cup,True,4.27875757217407
What is the object in the image? Answer with a single word.,llama3.2-vision,images_base,05.jpg,Sponge.,sponge,True,4.2399377822876
What is the object in the image? Answer with a single word.,llama3.2-vision,images_base,06.jpg,Sponge.,sponge,True,4.2548098564148
What is the object in the image? Answer with a single word.,llama3.2-vision,images_base,07.jpg,Cloth.,sponge,False,4.20724391937256
What is the object in the image? Answer with a single word.,llama3.2-vision,images_base,08.jpg,Sponge.,sponge,True,4.23114538192749
